"Nome completo";"Entidade";
"Almoxarifado";"Central de Serviços";
"Atitude Serviços";"Central de Serviços";
"Auditoria";"Central de Serviços";
"Comercial";"Central de Serviços";
"Compras";"Central de Serviços";
"Contabilidade";"Central de Serviços";
"Controladoria";"Central de Serviços";
"Departamento Pessoal";"Central de Serviços";
"DIRETORIA";"Central de Serviços";
"FATURAMENTO";"Central de Serviços";
"Financeiro";"Central de Serviços";
"Operacional";"Central de Serviços";
"Portaria";"Central de Serviços";
"Recepção";"Central de Serviços";
"Recursos Humanos";"Central de Serviços";
"SESMT";"Central de Serviços";
"TI";"Central de Serviços";
"UnikaSepa";"Central de Serviços";
